@relation dados

@attribute Loja {SantanaShopping, PinheirosShopping}
@attribute DiaDaSemana {segunda-feira, terca-feira, quarta-feira, quinta-feira, sexta-feira, Sabado, domingo}
@attribute Mes {Fevereiro, Marco}
@attribute PeriodoDoDia {Manha, Tarde, Noite}
@attribute Fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute FluxoDaVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute Temperatura {Frio, Morno, Quente, MuitoQuente}
@attribute PrevisaoDoTempo {SemChuva, PoucaChuva, ChuvaLeve, ChuvaModerada, ChuvaForte, Tempestade}
@attribute Atendimentos {SemAtendimento, 1-3Atendimentos, 4-6Atendimentos, 7-9Atendimentos, 10-12Atendimentos, 13-15Atendimentos, 19Atendimentos}

@data
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,SemChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineAlto,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,SemFluxo,VitrineBaixo,MuitoQuente,SemChuva,SemAtendimento
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,SemChuva,SemAtendimento
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Morno,SemChuva,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,SemChuva,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,SemChuva,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,SemChuva,7-9Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,SemChuva,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Quente,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineAlto,Morno,SemChuva,1-3Atendimentos
