@relation dados

@attribute loja {ShoppingA, ShoppingB}
@attribute diaSemana {segunda, terca, quarta, quinta, sexta, sabado, domingo}
@attribute diaMes real
@attribute mes {Fevereiro, Marco}
@attribute hora real
@attribute fluxo real
@attribute fluxoVitrine real
@attribute temperatura real
@attribute umidade real
@attribute nebulosidade real
@attribute chuva real
@attribute atendimento {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
ShoppingA,terca,21,Fevereiro,11,17,4,25.2,66,6,0.0,0
ShoppingA,terca,21,Fevereiro,12,20,83,25.2,66,6,0.0,4
ShoppingA,terca,21,Fevereiro,13,50,186,25.2,66,6,0.0,5
ShoppingA,terca,21,Fevereiro,14,23,77,25.2,66,6,0.0,1
ShoppingA,terca,21,Fevereiro,15,27,158,25.2,66,6,0.0,3
ShoppingA,terca,21,Fevereiro,16,30,89,25.2,66,6,0.0,4
ShoppingA,terca,21,Fevereiro,17,36,186,25.2,66,6,0.0,4
ShoppingA,terca,21,Fevereiro,18,28,117,30.3,53,9,0.0,2
ShoppingA,terca,21,Fevereiro,19,31,79,30.3,53,9,0.0,3
ShoppingA,terca,21,Fevereiro,20,33,69,30.3,53,9,0.0,4
ShoppingA,terca,21,Fevereiro,21,43,85,30.3,53,9,0.0,4
ShoppingA,terca,21,Fevereiro,22,0,2,30.3,53,9,0.0,0
ShoppingA,quarta,22,Fevereiro,10,5,238,22.8,78,6,0.0,0
ShoppingA,quarta,22,Fevereiro,11,19,91,22.8,78,6,0.0,1
ShoppingA,quarta,22,Fevereiro,12,21,44,25.2,70,8,0.0,4
ShoppingA,quarta,22,Fevereiro,13,32,134,25.2,70,8,0.0,6
ShoppingA,quarta,22,Fevereiro,14,52,113,25.2,70,8,0.0,4
ShoppingA,quarta,22,Fevereiro,15,32,151,25.2,70,8,0.0,5
ShoppingA,quarta,22,Fevereiro,16,71,205,25.2,70,8,0.0,5
ShoppingA,quarta,22,Fevereiro,17,44,158,25.2,70,8,0.0,3
ShoppingA,quarta,22,Fevereiro,18,27,135,31.4,33,8,0.0,1
ShoppingA,quarta,22,Fevereiro,19,11,108,31.4,33,8,0.0,3
ShoppingA,quarta,22,Fevereiro,20,25,149,31.4,33,8,0.0,3
ShoppingA,quarta,22,Fevereiro,21,49,212,31.4,33,8,0.0,2
